nameWithOwner,createdAt,forkCount,isFork
datasienceelmo/hello-world,2017-11-03T13:22:13Z,0,False
datasienceelmo/githubtest,2017-11-03T13:52:29Z,0,True
datasienceelmo/thematest,2017-11-03T14:00:58Z,1,True
datasienceelmo/th_10_GitHub_Mining,2017-12-01T13:17:17Z,0,True
datasienceelmo/th_08_Sentiment_Analysis_und_Natural_Language_Processing,2017-12-18T16:16:46Z,0,True
datasienceelmo/htwg_thesis_template_markdown,2018-01-04T10:59:32Z,0,True
datasienceelmo/butterknife,2018-01-05T01:26:18Z,0,True
